Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 10:49:39 CET,"71700,8"
7 févr. 2024 10:49:54 CET,"71701,1"
7 févr. 2024 10:50:09 CET,"71701,3"
7 févr. 2024 10:50:24 CET,"71701,6"
7 févr. 2024 10:50:39 CET,"71701,9"
7 févr. 2024 10:50:54 CET,"71702,2"
7 févr. 2024 10:51:10 CET,"71702,4"
7 févr. 2024 10:51:25 CET,"71702,7"
7 févr. 2024 10:51:40 CET,"71703,0"
7 févr. 2024 10:51:55 CET,"71703,3"
7 févr. 2024 10:52:10 CET,"71703,6"
7 févr. 2024 10:52:25 CET,"71703,8"
7 févr. 2024 10:52:40 CET,"71704,1"
7 févr. 2024 10:52:55 CET,"71704,3"
7 févr. 2024 10:53:10 CET,"71704,6"
7 févr. 2024 10:53:25 CET,"71704,8"
7 févr. 2024 10:53:40 CET,"71705,1"
7 févr. 2024 10:53:55 CET,"71705,3"
7 févr. 2024 10:54:10 CET,"71705,6"
7 févr. 2024 10:54:25 CET,"71705,8"
7 févr. 2024 10:54:40 CET,"71706,0"
7 févr. 2024 10:54:56 CET,"71706,3"
7 févr. 2024 10:55:11 CET,"71706,5"
7 févr. 2024 10:55:26 CET,"71706,7"
7 févr. 2024 10:55:41 CET,"71707,0"
7 févr. 2024 10:55:56 CET,"71707,2"
7 févr. 2024 10:56:11 CET,"71707,4"
7 févr. 2024 10:56:26 CET,"71707,6"
7 févr. 2024 10:56:41 CET,"71707,9"
7 févr. 2024 10:56:56 CET,"71708,1"
7 févr. 2024 10:57:11 CET,"71708,3"
7 févr. 2024 10:57:26 CET,"71708,6"
7 févr. 2024 10:57:41 CET,"71708,8"
7 févr. 2024 10:57:57 CET,"71709,1"
7 févr. 2024 10:58:12 CET,"71709,3"
7 févr. 2024 10:58:27 CET,"71709,5"
7 févr. 2024 10:58:42 CET,"71709,8"
7 févr. 2024 10:58:58 CET,"71710,0"
7 févr. 2024 10:59:13 CET,"71710,2"
7 févr. 2024 10:59:28 CET,"71710,4"
7 févr. 2024 10:59:43 CET,"71710,7"
7 févr. 2024 10:59:58 CET,"71710,9"
7 févr. 2024 11:00:16 CET,"71711,1"
